"""Date""";"""Temp"""
11/03/1996;41
18/03/1996;9
25/03/1996;36
01/04/1996;6
08/04/1996;1
15/04/1996;19
22/04/1996;56
29/04/1996;53
06/05/1996;55
13/05/1996;25
20/05/1996;25
27/05/1996;20
03/06/1996;47
10/06/1996;16
17/06/1996;60
24/06/1996;60
01/07/1996;10
08/07/1996;37
15/07/1996;5
22/07/1996;25
29/07/1996;49
05/08/1996;9
12/08/1996;17
19/08/1996;1
25/08/1996;56
01/09/1996;50
08/09/1996;44
15/09/1996;60
22/09/1996;14
29/09/1996;38
06/10/1996;56
13/10/1996;43
20/10/1996;5
27/10/1996;15
03/11/1996;21
10/11/1996;13
17/11/1996;22
24/11/1996;55
01/12/1996;16
08/12/1996;3
15/12/1996;38
22/12/1996;24
29/12/1996;2
05/01/1997;47
12/01/1997;30
19/01/1997;32
26/01/1997;35
02/02/1997;47
09/02/1997;33
16/02/1997;57
23/02/1997;23
02/03/1997;58
09/03/1997;42
16/03/1997;5
23/03/1997;29
30/03/1997;51
06/04/1997;27
13/04/1997;30
20/04/1997;28
27/04/1997;38
04/05/1997;59
11/05/1997;52
18/05/1997;26
25/05/1997;8
01/06/1997;20
08/06/1997;15
15/06/1997;47
22/06/1997;53
29/06/1997;56
06/07/1997;40
13/07/1997;53
20/07/1997;19
27/07/1997;57
03/08/1997;2
10/08/1997;36
17/08/1997;33
24/08/1997;29
31/08/1997;22
07/09/1997;43
14/09/1997;51
21/09/1997;47
28/09/1997;51
05/10/1997;24
12/10/1997;10
19/10/1997;47
26/10/1997;54
02/11/1997;40
09/11/1997;45
16/11/1997;59
23/11/1997;21
30/11/1997;60
07/12/1997;5
14/12/1997;22
21/12/1997;28
28/12/1997;46
04/01/1998;4
11/01/1998;56
18/01/1998;43
25/01/1998;30
01/02/1998;46
08/02/1998;39
15/02/1998;44
22/02/1998;9
01/03/1998;13
08/03/1998;3
15/03/1998;24
22/03/1998;2
29/03/1998;60
04/04/1998;54
11/04/1998;57
18/04/1998;52
25/04/1998;37
02/05/1998;34
09/05/1998;47
16/05/1998;6
23/05/1998;36
30/05/1998;53
06/06/1998;22
13/06/1998;47
20/06/1998;46
27/06/1998;53
04/07/1998;20
11/07/1998;13
18/07/1998;52
25/07/1998;56
01/08/1998;32
08/08/1998;59
15/08/1998;23
22/08/1998;46
29/08/1998;13
05/09/1998;30
12/09/1998;44
19/09/1998;19
26/09/1998;60
03/10/1998;35
10/10/1998;17
17/10/1998;26
24/10/1998;41
31/10/1998;26
07/11/1998;55
14/11/1998;10
21/11/1998;20
28/11/1998;40
05/12/1998;8
12/12/1998;43
19/12/1998;51
24/12/1998;24
31/12/1998;32
09/01/1999;11
16/01/1999;50
23/01/1999;3
30/01/1999;12
06/02/1999;47
13/02/1999;8
20/02/1999;12
27/02/1999;52
06/03/1999;17
13/03/1999;58
20/03/1999;16
27/03/1999;13
03/04/1999;25
10/04/1999;23
17/04/1999;41
24/04/1999;4
01/05/1999;39
08/05/1999;60
15/05/1999;1
22/05/1999;45
29/05/1999;52
05/06/1999;7
12/06/1999;54
19/06/1999;49
26/06/1999;29
03/07/1999;11
10/07/1999;10
17/07/1999;28
24/07/1999;35
31/07/1999;5
07/08/1999;6
14/08/1999;39
21/08/1999;33
28/08/1999;46
04/09/1999;16
11/09/1999;9
18/09/1999;59
25/09/1999;24
02/10/1999;6
10/10/1999;34
16/10/1999;41
24/10/1999;32
31/10/1999;58
06/11/1999;1
13/11/1999;12
20/11/1999;32
27/11/1999;17
04/12/1999;32
11/12/1999;19
18/12/1999;40
24/12/1999;52
31/12/1999;12
08/01/2000;55
15/01/2000;49
22/01/2000;11
29/01/2000;31
05/02/2000;26
12/02/2000;20
19/02/2000;19
26/02/2000;23
04/03/2000;13
11/03/2000;37
18/03/2000;10
25/03/2000;29
01/04/2000;3
08/04/2000;30
15/04/2000;7
22/04/2000;35
29/04/2000;27
06/05/2000;54
13/05/2000;26
20/05/2000;36
27/05/2000;54
03/06/2000;5
10/06/2000;28
17/06/2000;20
24/06/2000;21
01/07/2000;2
08/07/2000;37
15/07/2000;16
22/07/2000;39
29/07/2000;56
05/08/2000;16
12/08/2000;29
19/08/2000;45
26/08/2000;15
02/09/2000;29
09/09/2000;10
16/09/2000;36
23/09/2000;15
30/09/2000;33
07/10/2000;59
14/10/2000;11
21/10/2000;22
28/10/2000;20
04/11/2000;19
11/11/2000;44
18/11/2000;2
25/11/2000;34
02/12/2000;56
09/12/2000;21
16/12/2000;55
23/12/2000;34
30/12/2000;17
06/01/2001;12
13/01/2001;4
20/01/2001;32
27/01/2001;21
03/02/2001;28
10/02/2001;12
17/02/2001;20
24/02/2001;43
03/03/2001;5
10/03/2001;53
17/03/2001;8
24/03/2001;5
31/03/2001;7
07/04/2001;38
14/04/2001;58
21/04/2001;21
28/04/2001;19
05/05/2001;45
12/05/2001;14
19/05/2001;36
26/05/2001;47
02/06/2001;11
09/06/2001;16
16/06/2001;53
23/06/2001;40
30/06/2001;22
07/07/2001;31
14/07/2001;5
21/07/2001;11
28/07/2001;33
01/08/2001;48
04/08/2001;8
08/08/2001;50
11/08/2001;44
15/08/2001;60
18/08/2001;50
22/08/2001;36
25/08/2001;57
29/08/2001;22
01/09/2001;24
05/09/2001;6
08/09/2001;28
12/09/2001;24
15/09/2001;20
19/09/2001;20
22/09/2001;22
26/09/2001;7
29/09/2001;27
03/10/2001;58
06/10/2001;25
10/10/2001;7
13/10/2001;42
17/10/2001;11
20/10/2001;30
24/10/2001;26
27/10/2001;55
31/10/2001;39
03/11/2001;28
07/11/2001;32
10/11/2001;14
14/11/2001;14
17/11/2001;5
21/11/2001;50
24/11/2001;28
28/11/2001;27
01/12/2001;19
05/12/2001;12
08/12/2001;20
12/12/2001;11
15/12/2001;18
19/12/2001;31
22/12/2001;22
29/12/2001;4
05/01/2002;52
09/01/2002;46
12/01/2002;51
16/01/2002;24
19/01/2002;2
23/01/2002;27
26/01/2002;28
30/01/2002;35
02/02/2002;41
06/02/2002;43
09/02/2002;2
16/02/2002;31
20/02/2002;48
23/02/2002;13
27/02/2002;10
02/03/2002;56
06/03/2002;29
09/03/2002;4
13/03/2002;33
16/03/2002;56
20/03/2002;56
23/03/2002;26
27/03/2002;39
30/03/2002;9
03/04/2002;23
06/04/2002;15
10/04/2002;49
13/04/2002;60
17/04/2002;40
20/04/2002;2
24/04/2002;54
27/04/2002;45
04/05/2002;40
08/05/2002;31
11/05/2002;47
15/05/2002;41
18/05/2002;37
22/05/2002;39
25/05/2002;59
29/05/2002;52
01/06/2002;6
05/06/2002;52
08/06/2002;13
12/06/2002;21
15/06/2002;51
19/06/2002;23
22/06/2002;24
26/06/2002;31
29/06/2002;54
03/07/2002;51
06/07/2002;25
10/07/2002;46
13/07/2002;55
17/07/2002;41
20/07/2002;47
24/07/2002;9
27/07/2002;54
31/07/2002;48
03/08/2002;28
07/08/2002;22
10/08/2002;39
14/08/2002;29
17/08/2002;52
21/08/2002;46
24/08/2002;7
28/08/2002;7
31/08/2002;49
04/09/2002;12
07/09/2002;15
11/09/2002;11
14/09/2002;47
18/09/2002;32
21/09/2002;28
25/09/2002;59
28/09/2002;29
02/10/2002;50
05/10/2002;27
09/10/2002;46
12/10/2002;24
16/10/2002;57
19/10/2002;47
23/10/2002;49
26/10/2002;49
30/10/2002;26
02/11/2002;31
06/11/2002;10
09/11/2002;45
13/11/2002;35
16/11/2002;35
20/11/2002;38
23/11/2002;13
27/11/2002;25
30/11/2002;45
04/12/2002;41
07/12/2002;43
11/12/2002;38
14/12/2002;60
18/12/2002;8
21/12/2002;29
28/12/2002;6
04/01/2003;7
08/01/2003;51
11/01/2003;60
15/01/2003;55
18/01/2003;50
22/01/2003;58
25/01/2003;50
29/01/2003;36
01/02/2003;24
05/02/2003;37
08/02/2003;1
12/02/2003;54
15/02/2003;38
19/02/2003;42
22/02/2003;46
26/02/2003;2
01/03/2003;15
08/03/2003;11
12/03/2003;48
15/03/2003;31
19/03/2003;11
22/03/2003;24
26/03/2003;5
29/03/2003;34
02/04/2003;59
05/04/2003;23
09/04/2003;54
12/04/2003;58
16/04/2003;4
19/04/2003;50
23/04/2003;17
26/04/2003;48
30/04/2003;43
03/05/2003;43
07/05/2003;19
10/05/2003;30
14/05/2003;27
17/05/2003;7
21/05/2003;6
24/05/2003;46
28/05/2003;28
31/05/2003;38
04/06/2003;23
07/06/2003;29
11/06/2003;51
14/06/2003;51
18/06/2003;12
21/06/2003;51
25/06/2003;34
28/06/2003;19
02/07/2003;38
05/07/2003;47
09/07/2003;30
12/07/2003;20
16/07/2003;36
19/07/2003;42
23/07/2003;13
26/07/2003;16
30/07/2003;53
02/08/2003;38
06/08/2003;50
09/08/2003;25
13/08/2003;30
16/08/2003;28
20/08/2003;5
23/08/2003;22
27/08/2003;57
30/08/2003;54
03/09/2003;28
06/09/2003;36
10/09/2003;41
13/09/2003;9
17/09/2003;49
20/09/2003;59
27/09/2003;35
01/10/2003;34
04/10/2003;50
08/10/2003;10
11/10/2003;39
15/10/2003;47
18/10/2003;31
22/10/2003;44
25/10/2003;46
29/10/2003;32
01/11/2003;30
05/11/2003;8
08/11/2003;8
12/11/2003;46
15/11/2003;15
19/11/2003;39
22/11/2003;24
26/11/2003;51
29/11/2003;44
03/12/2003;9
06/12/2003;32
10/12/2003;28
13/12/2003;49
17/12/2003;45
20/12/2003;47
27/12/2003;26
03/01/2004;3
07/01/2004;17
10/01/2004;34
14/01/2004;56
17/01/2004;32
21/01/2004;3
24/01/2004;13
28/01/2004;27
31/01/2004;48
04/02/2004;49
07/02/2004;14
11/02/2004;37
14/02/2004;45
18/02/2004;16
21/02/2004;22
28/02/2004;58
03/03/2004;49
06/03/2004;35
10/03/2004;11
13/03/2004;43
17/03/2004;46
20/03/2004;4
24/03/2004;51
27/03/2004;13
31/03/2004;17
03/04/2004;56
07/04/2004;22
10/04/2004;43
14/04/2004;47
17/04/2004;49
21/04/2004;8
24/04/2004;18
28/04/2004;59
01/05/2004;53
05/05/2004;32
08/05/2004;39
12/05/2004;37
15/05/2004;34
19/05/2004;38
22/05/2004;31
26/05/2004;17
29/05/2004;57
02/06/2004;25
05/06/2004;32
09/06/2004;35
12/06/2004;14
16/06/2004;33
19/06/2004;59
23/06/2004;32
26/06/2004;18
30/06/2004;18
03/07/2004;31
07/07/2004;48
10/07/2004;15
14/07/2004;38
17/07/2004;30
21/07/2004;13
24/07/2004;55
28/07/2004;30
31/07/2004;24
04/08/2004;45
07/08/2004;30
11/08/2004;45
14/08/2004;13
18/08/2004;25
21/08/2004;58
25/08/2004;55
28/08/2004;27
01/09/2004;10
04/09/2004;54
08/09/2004;43
11/09/2004;42
15/09/2004;5
18/09/2004;6
22/09/2004;18
25/09/2004;37
29/09/2004;38
02/10/2004;4
06/10/2004;41
09/10/2004;44
13/10/2004;41
16/10/2004;6
20/10/2004;30
23/10/2004;15
27/10/2004;25
30/10/2004;22
03/11/2004;55
06/11/2004;54
10/11/2004;60
13/11/2004;27
17/11/2004;24
20/11/2004;25
24/11/2004;60
27/11/2004;16
01/12/2004;22
04/12/2004;29
08/12/2004;59
11/12/2004;42
15/12/2004;39
18/12/2004;59
22/12/2004;49
29/12/2004;19
05/01/2005;8
08/01/2005;40
12/01/2005;16
15/01/2005;1
19/01/2005;2
22/01/2005;27
26/01/2005;13
29/01/2005;49
02/02/2005;30
05/02/2005;52
12/02/2005;42
16/02/2005;51
19/02/2005;12
23/02/2005;17
26/02/2005;51
02/03/2005;14
05/03/2005;57
09/03/2005;52
12/03/2005;13
16/03/2005;56
19/03/2005;5
23/03/2005;9
26/03/2005;53
30/03/2005;39
02/04/2005;24
06/04/2005;31
09/04/2005;10
13/04/2005;26
16/04/2005;59
20/04/2005;20
23/04/2005;41
27/04/2005;14
30/04/2005;53
04/05/2005;42
07/05/2005;4
11/05/2005;1
14/05/2005;12
18/05/2005;8
21/05/2005;7
25/05/2005;5
28/05/2005;49
01/06/2005;7
04/06/2005;42
08/06/2005;27
11/06/2005;43
15/06/2005;6
18/06/2005;22
22/06/2005;50
25/06/2005;49
29/06/2005;25
02/07/2005;44
06/07/2005;37
09/07/2005;44
13/07/2005;59
16/07/2005;60
20/07/2005;43
23/07/2005;50
27/07/2005;33
30/07/2005;33
03/08/2005;59
06/08/2005;47
10/08/2005;6
13/08/2005;15
17/08/2005;55
20/08/2005;33
24/08/2005;14
27/08/2005;15
31/08/2005;13
03/09/2005;37
10/09/2005;53
14/09/2005;22
19/09/2005;53
21/09/2005;2
24/09/2005;13
28/09/2005;1
01/10/2005;30
05/10/2005;2
08/10/2005;3
15/10/2005;22
19/10/2005;51
22/10/2005;45
26/10/2005;29
29/10/2005;46
05/11/2005;10
09/11/2005;35
12/11/2005;46
16/11/2005;17
19/11/2005;54
23/11/2005;29
26/11/2005;28
30/11/2005;7
03/12/2005;39
07/12/2005;12
10/12/2005;14
14/12/2005;60
17/12/2005;16
21/12/2005;34
31/12/2005;49
04/01/2006;40
07/01/2006;14
11/01/2006;44
14/01/2006;33
18/01/2006;45
21/01/2006;35
25/01/2006;49
28/01/2006;12
01/02/2006;44
04/02/2006;40
08/02/2006;1
11/02/2006;33
15/02/2006;15
18/02/2006;6
22/02/2006;29
25/02/2006;26
01/03/2006;34
04/03/2006;54
08/03/2006;26
11/03/2006;21
15/03/2006;49
18/03/2006;21
22/03/2006;1
25/03/2006;24
29/03/2006;58
01/04/2006;4
05/04/2006;25
08/04/2006;59
12/04/2006;4
15/04/2006;59
19/04/2006;37
22/04/2006;17
26/04/2006;47
29/04/2006;59
03/05/2006;12
06/05/2006;56
10/05/2006;39
13/05/2006;40
18/05/2006;7
21/05/2006;3
24/05/2006;1
27/05/2006;22
31/05/2006;33
03/06/2006;20
07/06/2006;4
10/06/2006;29
14/06/2006;38
17/06/2006;3
21/06/2006;37
24/06/2006;27
28/06/2006;57
01/07/2006;14
05/07/2006;45
08/07/2006;36
12/07/2006;10
15/07/2006;10
19/07/2006;11
22/07/2006;43
26/07/2006;42
29/07/2006;35
02/08/2006;27
05/08/2006;37
09/08/2006;31
12/08/2006;60
16/08/2006;22
19/08/2006;42
23/08/2006;43
26/08/2006;3
30/08/2006;56
02/09/2006;14
06/09/2006;19
09/09/2006;58
13/09/2006;32
16/09/2006;29
20/09/2006;1
23/09/2006;20
27/09/2006;14
30/09/2006;10
04/10/2006;13
07/10/2006;30
12/10/2006;60
14/10/2006;8
18/10/2006;15
21/10/2006;25
25/10/2006;4
28/10/2006;32
01/11/2006;57
04/11/2006;23
08/11/2006;11
11/11/2006;57
16/11/2006;21
18/11/2006;34
22/11/2006;44
25/11/2006;51
29/11/2006;17
02/12/2006;4
06/12/2006;4
09/12/2006;15
13/12/2006;33
16/12/2006;28
19/12/2006;45
21/12/2006;24
23/12/2006;23
31/12/2006;32
03/01/2007;53
06/01/2007;3
10/01/2007;17
13/01/2007;53
17/01/2007;44
20/01/2007;58
24/01/2007;28
27/01/2007;16
31/01/2007;9
03/02/2007;11
07/02/2007;43
10/02/2007;36
14/02/2007;51
17/02/2007;34
24/02/2007;54
28/02/2007;40
03/03/2007;47
07/03/2007;42
10/03/2007;56
14/03/2007;8
17/03/2007;60
21/03/2007;16
24/03/2007;14
28/03/2007;51
31/03/2007;17
04/04/2007;42
07/04/2007;11
11/04/2007;17
14/04/2007;31
18/04/2007;46
23/04/2007;22
25/04/2007;42
28/04/2007;19
02/05/2007;32
05/05/2007;31
09/05/2007;27
12/05/2007;36
16/05/2007;54
19/05/2007;57
23/05/2007;29
26/05/2007;52
30/05/2007;17
02/06/2007;18
06/06/2007;57
09/06/2007;59
13/06/2007;53
16/06/2007;4
20/06/2007;13
23/06/2007;37
27/06/2007;29
30/06/2007;51
04/07/2007;43
07/07/2007;42
11/07/2007;21
14/07/2007;22
18/07/2007;13
21/07/2007;50
25/07/2007;44
28/07/2007;50
01/08/2007;34
04/08/2007;9
08/08/2007;15
11/08/2007;1
15/08/2007;56
18/08/2007;37
22/08/2007;2
25/08/2007;31
29/08/2007;21
01/09/2007;4
05/09/2007;58
08/09/2007;4
12/09/2007;32
15/09/2007;52
19/09/2007;17
22/09/2007;32
26/09/2007;4
29/09/2007;35
03/10/2007;9
06/10/2007;19
10/10/2007;42
13/10/2007;53
17/10/2007;49
20/10/2007;26
24/10/2007;30
27/10/2007;33
31/10/2007;20
03/11/2007;33
07/11/2007;23
10/11/2007;38
14/11/2007;43
17/11/2007;17
21/11/2007;35
24/11/2007;41
28/11/2007;53
01/12/2007;51
05/12/2007;52
08/12/2007;40
12/12/2007;36
15/12/2007;32
19/12/2007;16
22/12/2007;46
31/12/2007;17
05/01/2008;2
09/01/2008;25
12/01/2008;25
16/01/2008;7
19/01/2008;5
23/01/2008;22
26/01/2008;35
30/01/2008;6
02/02/2008;25
06/02/2008;11
09/02/2008;5
13/02/2008;47
16/02/2008;16
20/02/2008;44
23/02/2008;59
27/02/2008;33
01/03/2008;22
05/03/2008;44
08/03/2008;48
12/03/2008;49
15/03/2008;54
19/03/2008;55
22/03/2008;8
26/03/2008;35
29/03/2008;46
02/04/2008;50
05/04/2008;13
09/04/2008;57
12/04/2008;34
16/04/2008;16
19/04/2008;2
23/04/2008;37
26/04/2008;42
30/04/2008;36
03/05/2008;1
07/05/2008;18
10/05/2008;30
14/05/2008;56
17/05/2008;57
21/05/2008;4
24/05/2008;33
28/05/2008;53
31/05/2008;45
04/06/2008;33
07/06/2008;28
11/06/2008;17
14/06/2008;42
18/06/2008;28
21/06/2008;35
25/06/2008;8
28/06/2008;12
02/07/2008;38
05/07/2008;46
09/07/2008;4
12/07/2008;32
16/07/2008;47
19/07/2008;48
23/07/2008;38
26/07/2008;29
30/07/2008;8
02/08/2008;6
06/08/2008;26
09/08/2008;44
13/08/2008;4
16/08/2008;21
20/08/2008;18
23/08/2008;28
27/08/2008;44
30/08/2008;49
